Cal State Bakersfield,Bakersfield
Brigham Young,BYU
California Baptist,Cal Baptist
Central Connecticut State,Central Connecticut
Detroit-Mercy,Detroit Mercy
Florida Gulf Coast,FGCU
Florida International,FIU
Gardner-Webb,Gardner Webb
Jacksonville State,Jax State
Long Island,LIU
Loyola (MD),Loyola
Loyola (IL),Loyola Chicago
Maryland-Eastern Shore,Maryland Eastern Shore
Merrimack College,Merrimack
Middle Tennessee State,Middle Tennessee
N.J.I.T.,NJIT
Nicholls State,Nicholls
Pennsylvania,Penn
Queens University,Queens (NC)
SIU-Edwardsville,SIUE
Southern Mississippi,Southern Miss
UNC Wilmington,UNCW
Virginia Military,VMI
Illinois-Chicago,UIC
Louisiana-Monroe,ULM
Southern Methodist,SMU
Southeast Missouri State,SEMO
Texas-Arlington,UT Arlington
Texas-RGV,UTRGV
Texas-San Antonio,UTSA
UMKC,Kansas City
