,team,full_name,stadium,Sport
0,Illinois,Illinois Fighting Illini,State Farm Center,Basketball
1,Indiana,Indiana Hoosiers,Assembly Hall,Basketball
2,Iowa,Iowa Hawkeyes,Carver-Hawkeye Arena,Basketball
3,Maryland,Maryland Terrapins,XFINITY Center,Basketball
4,Michigan,Michigan Wolverines,Crisler Center,Basketball
5,Michigan State,Michigan State Spartans,Breslin Center,Basketball
6,Minnesota,Minnesota Golden Gophers,Williams Arena,Basketball
7,Nebraska,Nebraska Cornhuskers,Pinnacle Bank Arena,Basketball
8,Northwestern,Northwestern Wildcats,Welsh-Ryan Arena,Basketball
9,Ohio State,Ohio State Buckeyes,Schottenstein Center,Basketball
10,Oregon,Oregon Ducks,Matthew Knight Arena,Basketball
11,Penn State,Penn State Nittany Lions,Bryce Jordan Center,Basketball
12,Purdue,Purdue Boilermakers,Mackey Arena,Basketball
13,Rutgers,Rutgers Scarlet Knights,Jersey Mike's Arena,Basketball
14,UCLA,UCLA Bruins,Pauley Pavilion,Basketball
15,USC,USC Trojans,Galen Center,Basketball
16,Washington,Washington Huskies,Alaska Airlines Arena,Basketball
17,Wisconsin,Wisconsin Badgers,Kohl Center,Basketball
