Team,Head coach,Stadium,Founded,Joined
Angel City FC,Alexander Straus,BMO Stadium,2020,2022
Bay FC,Emma Coates,PayPal Park,2023,2024
Boston Legacy FC,Filipa Santos Patão,Gillette Stadium,2023,2026
Chicago Stars FC,Martin Sjögren,Northwestern Medicine Field at Martin Stadium,2006,2013
Denver Summit FC,Nick Cushing,Centennial Stadium,2025,2026
Gotham FC,Juan Carlos Amorós,Sports Illustrated Stadium,2007,2013
Houston Dash,Fabrice Gautrat,Shell Energy Stadium,2013,2014
Kansas City Current,Chris Armas,CPKC Stadium,2020,2021
North Carolina Courage,Mak Lind,WakeMed Soccer Park,2017,2017
Orlando Pride,Seb Hines,Inter&Co Stadium,2015,2016
Portland Thorns FC,Robert Vilahamn,Providence Park,2012,2013
Racing Louisville FC,Bev Yanez,Lynn Family Stadium,2019,2021
San Diego Wave FC,Jonas Eidevall,Snapdragon Stadium,2021,2022
Seattle Reign FC,Laura Harvey,Lumen Field,2012,2013
Utah Royals,Jimmy Coenraets,America First Field,2017,2024
